start,end,transcript,speaker,confidence,filler_num_true,filler_flg_true,filler_num,filler_flg,filler_words
0.0,0.1,では、来季の予算会議を始めます。各部署からの報告をお願いします。まずは佐藤さん、全体の見通しをお願いします。,0,1,0,0,0,0,
0.1,0.2,はい。えーっでは来季の全体予算案につきまして、ご説明いたします。そのー売上高は前年比5%増のまぁ850億円となっておりまして、営業利益のほうはですねえーっ7%増の68億円をまぁ見込んでおります。為替レートはえーっ1ドル110円でまぁ試算しています。,1,1,7,1,6,1,"えー,そのー,まぁ,えーっ,えーっ,えーっ"
0.2,0.3,なるほど。前年よりも成長を見込んでいるわけですね。各部門の詳細をお聞きしましょう。鈴木さん、研究開発部門からお願いします。,0,1,0,0,0,0,
0.3,0.4,はい。研究開発費は総額で95億円を計画しています。これは前年比8%増です。主な増加要因は、新規バイオ素材の開発プロジェクトと、あとはまぁ既存製品の環境負荷低減研究です。,2,1,1,1,1,1,まぁ
0.4,0.5,8%増は大きいですね。具体的にどのような成果を期待していますか？,0,1,0,0,0,0,
0.5,0.6,新規バイオ素材については、3年以内の製品化を目指しています。環境負荷低減については、主力製品のCO2排出量を20%削減する技術の確立を目標としています。,2,1,0,0,0,0,
0.6,0.7,なるほど。うーん。確かにその環境技術は、えーっ営業的にも大きなアピールポイントになりますね。,3,1,4,1,2,1,"うーん, えーっ"
0.7,0.8,確かに。では高橋さん、営業部門の計画をお願いします。,0,1,0,0,0,0,
0.8,0.9,はい。売上目標は佐藤さんの説明通り850億円です。内訳として、国内が500億円、海外が350億円を計画しています。特に注力するのはですね、えーっアジア市場での拡販です。,3,1,2,1,2,1,"えーっ, ですね"
0.9,1.0,アジア市場にはどのくらいの伸びを見込んでいますか？,0,1,0,0,0,0,
1.0,1.1,そうですねーアジア市場では前年比15%増を目標としています。特に、えーっインドネシアとベトナムでの販売網拡充に力を入れます。,3,1,2,1,1,1,えーっ
1.1,1.2,生産能力は大丈夫でしょうか。アジア向けの増産体制は整っていますか？,4,1,0,0,0,0,
1.2,1.3,まぁその点については山本さんと調整済みです。えーご説明をお願いできますか。,3,1,2,1,1,1,えー
1.3,1.4,はい。アジア向け製品の生産ラインを増強する計画です。設備投資として30億円を計上しています。,4,1,0,0,0,0,
1.4,1.5,30億円ですか。結構な金額ですね。投資回収の見通しはいかがですか？,0,1,0,0,0,0,
1.5,1.6,5年での回収を見込んでいます。この投資により生産効率も15%向上する見通しで、コスト削減効果も期待できます。,4,1,0,0,0,0,
1.6,1.7,まぁその設備投資は財務計画に織り込み済みです。まぁそのー借入金で対応する予定ですが、えー現在の低金利を活かせると考えています。,1,1,3,1,3,1,"その, そのー, えー"
1.7,1.8,分かりました。それでは他に重要な案件はありますか？,0,1,0,0,0,0,
1.8,1.9,はい。えー研究開発部門では、AIを活用した材料開発システムの導入を検討しています。予算は10億円を見込んでいます。,2,1,1,1,1,1,えー
1.9,2.0,AIの活用ですか。面白い提案ですね。具体的にどのような効果を期待していますか？,0,1,0,0,0,0,
2.0,2.1,そうですねえーっとまずは新素材の開発スピードをまぁ現在の1.5倍に高めることが可能と試算しています。あとは、えーっと開発コストの20%削減もまぁ見込んでいます。,2,1,4,1,3,1,"えーっと,えー,まぁ"
2.1,2.2,ほうその技術は非常に興味深いですね。えーっもし実現すれば、市場投入のスピードアップにも繋がります。,3,1,2,1,1,1,えー
2.2,2.3,はい。まぁ投資額は大きいですが、えー長期的に見れば研究開発の効率化に大きく寄与するとまぁ思います。そのー財務的にも承認できる範囲です。,1,1,4,1,2,1,"えー,そのー"
2.3,2.4,皆さんの意見を聞く限り、前向きに検討する価値はありそうですね。鈴木さん、詳細な計画を立てて、再度提案してください。,0,1,0,0,0,0,
2.4,2.5,えー承知しました。そのー来週中に詳細な計画書をまぁ提出いたします。,2,1,3,1,3,1,"えー, そのー, まぁ"
2.5,2.6,ありがとうございます。では、最後に佐藤さん、全体を通しての財務見通しをお願いします。,0,1,0,0,0,0,
2.6,2.7,はい。えー先ほどの設備投資とAIシステムの,1,1,1,1,1,1,えー
